Time,Lot,pH,Temp,Current,Voltage,DTime,QC
27:17.0,1,1.51,23.72,3.03,4.52,2021-09-06,1
27:22.0,1,2.84,27.92,3.11,3.43,2021-09-06,1
27:27.0,1,1.78,25.44,3.98,4.58,2021-09-06,1
27:32.0,1,2.8,21.5,3.45,3.1,2021-09-06,1
27:37.0,1,2.63,27.24,4.47,3.26,2021-09-06,1
27:42.0,1,2.7,23.55,3.82,3.27,2021-09-06,1
27:47.0,1,1.63,25.59,3.37,3.17,2021-09-06,1
27:52.0,1,2.61,25.36,3.87,3.17,2021-09-06,1
27:57.0,1,1.77,25.11,3.19,4.12,2021-09-06,1
28:02.0,1,2.85,22.33,3.47,3.51,2021-09-06,1
28:07.0,1,1.68,24.49,3.56,3.14,2021-09-06,1
28:12.0,1,1.64,25.71,3.58,4.92,2021-09-06,1
28:17.0,1,2.8,22.97,3.2,3.74,2021-09-06,1
28:22.0,1,2.43,24.11,4.38,3.01,2021-09-06,1
28:27.0,1,2.71,24.3,4.48,3.15,2021-09-06,1
28:32.0,1,2.54,27.54,4.47,4.77,2021-09-06,1
28:37.0,1,1.54,23.05,3.55,4.11,2021-09-06,1
28:42.0,1,2.7,23.72,3.27,4.31,2021-09-06,1
28:47.0,1,2.9,24.84,3.91,4.69,2021-09-06,1
28:52.0,1,2.82,21.4,3.82,4.61,2021-09-06,1
28:57.0,1,1.83,22.14,4.34,4.38,2021-09-06,1
29:02.1,1,1.95,27.06,3.64,4.18,2021-09-06,1
29:07.1,1,1.86,21.43,3.13,3.94,2021-09-06,1
29:12.1,1,2.87,27.69,3.97,4.18,2021-09-06,1
29:17.1,1,2.8,17.78,3.66,3.87,2021-09-06,1
29:22.1,1,1.9,24.42,4.3,3.46,2021-09-06,1
29:27.1,1,2.79,26.06,3.85,4.86,2021-09-06,1
29:32.1,1,2.33,27.85,3.47,3.08,2021-09-06,1
29:37.1,1,1.86,22.79,4.34,3.08,2021-09-06,1
29:42.1,1,2.12,22.13,4.04,4.38,2021-09-06,1
29:47.1,1,2.98,23.37,3.33,4.79,2021-09-06,1
29:52.1,1,1.96,23.31,3.68,4.21,2021-09-06,1
29:57.1,1,2.7,26.66,3.38,3.58,2021-09-06,1
30:02.1,1,1.82,27.16,3.64,4.03,2021-09-06,1
30:07.1,1,2.51,22.23,3.1,4.26,2021-09-06,1
30:12.1,1,2.13,21.63,4.02,4.43,2021-09-06,1
30:17.1,1,1.56,25.34,3.88,3.73,2021-09-06,1
30:22.1,1,2.64,24.69,3.06,4.77,2021-09-06,1
30:27.1,1,2.58,24.98,3.34,4.62,2021-09-06,1
30:32.1,1,2.9,24.5,4,4.81,2021-09-06,1
30:37.1,1,2.38,23.84,3.76,3.6,2021-09-06,1
30:42.1,1,2.98,25.82,3.98,4.21,2021-09-06,1
30:47.2,1,2.77,24.89,4.12,4.63,2021-09-06,1
30:52.2,1,2.63,23.12,4.38,4.31,2021-09-06,1
30:57.2,1,2.19,25.93,3.75,4.31,2021-09-06,1
31:02.2,1,2.34,22.64,4.39,3.46,2021-09-06,1
31:07.2,1,1.56,26.75,3.71,4.09,2021-09-06,1
31:12.2,1,1.79,22.28,3.06,3.27,2021-09-06,1
31:17.2,1,1.8,23.99,4.11,3.69,2021-09-06,1
31:22.2,1,1.92,22.29,3.76,4.86,2021-09-06,1
31:27.2,1,1.57,24.53,4.47,3.05,2021-09-06,1
31:32.2,1,1.61,25.18,3.42,4.93,2021-09-06,1
31:37.2,1,1.57,24.12,4.16,4.78,2021-09-06,1
31:42.2,1,2.98,22.36,3.6,4.79,2021-09-06,1
31:47.2,1,1.82,24.52,4.49,3.21,2021-09-06,1
31:52.2,1,2.4,26.4,3.47,3.18,2021-09-06,1
31:57.2,1,2.1,27.13,4.19,3.82,2021-09-06,1
32:02.2,1,2.17,23.57,4.3,4.31,2021-09-06,1
32:07.2,1,2.04,21.01,3.13,3.42,2021-09-06,1
32:12.2,1,1.98,22.42,4.38,4.49,2021-09-06,1
32:17.2,1,2.99,21.91,4.41,4.09,2021-09-06,1
32:22.3,1,1.56,26.63,3.8,3.21,2021-09-06,1
32:27.3,1,2.08,26.06,3.59,3.02,2021-09-06,1
32:32.3,1,1.66,24.69,4.38,3.63,2021-09-06,1
32:37.3,1,2.59,22.05,3.3,4.94,2021-09-06,1
32:42.3,1,1.92,24.44,3.39,4.24,2021-09-06,1
32:47.3,1,2.81,21.48,4.15,4.43,2021-09-06,1
32:52.3,1,2.77,23.62,3.09,3.7,2021-09-06,1
32:57.3,1,2.27,22.07,3.5,4.55,2021-09-06,1
33:22.6,2,1.82,24.07,3.28,3.99,2021-09-06,1
33:27.6,2,1.51,22.59,4.01,4.81,2021-09-06,1
33:32.6,2,2.23,24.18,3.85,3.79,2021-09-06,1
33:37.6,2,2.99,24.9,4.41,3.32,2021-09-06,1
33:42.6,2,2.58,21.82,3.09,3.34,2021-09-06,1
33:47.6,2,2.46,21.57,3.03,4.87,2021-09-06,1
33:52.6,2,2.73,26.7,4.26,3.11,2021-09-06,1
33:57.6,2,2.23,25.7,4.38,3.59,2021-09-06,1
34:02.6,2,1.99,21.27,3.77,4.92,2021-09-06,1
34:07.6,2,2.68,27.22,4.49,4.19,2021-09-06,1
34:12.6,2,1.64,25.44,4.42,3.79,2021-09-06,1
34:17.6,2,1.67,23.63,4.26,3.53,2021-09-06,1
34:22.6,2,1.54,23.87,4.39,4.04,2021-09-06,1
34:27.6,2,1.53,25.87,3.58,4.44,2021-09-06,1
34:32.6,2,2.14,25.35,3.88,3.43,2021-09-06,1
34:37.6,2,2.73,22.61,3.07,3.58,2021-09-06,1
34:42.6,2,1.56,24.7,4.11,3.46,2021-09-06,1
34:47.7,2,1.96,22.24,4.39,3.89,2021-09-06,1
34:52.7,2,2.39,21.94,4.36,3.21,2021-09-06,1
34:57.7,2,1.54,26.19,3.44,4.78,2021-09-06,1
35:02.7,2,2.76,27.08,3.15,4.15,2021-09-06,1
35:07.7,2,2.35,25.02,3.83,4.07,2021-09-06,1
35:12.7,2,1.84,26.99,3.29,4.4,2021-09-06,1
35:17.7,2,2.09,23.44,3.46,4,2021-09-06,1
35:22.7,2,2.57,27.79,3.72,4.35,2021-09-06,1
35:27.7,2,1.51,27.19,4.18,4.5,2021-09-06,1
35:32.7,2,2.91,24.3,4.4,4.69,2021-09-06,1
35:37.7,2,1.75,23.74,3.56,3.81,2021-09-06,1
35:42.7,2,2.22,25.52,3.8,4.85,2021-09-06,1
35:47.7,2,2.35,23.99,4.26,4.9,2021-09-06,1
35:52.7,2,1.57,27.67,3.34,3.84,2021-09-06,1
35:57.7,2,2.77,21.42,3.92,4.82,2021-09-06,1
36:02.7,2,2.93,27.41,4.31,4.51,2021-09-06,1
36:07.8,2,1.97,24.38,3.66,4.24,2021-09-06,1
