,Time,Lot,pH,Temp,Current,Voltage,DTime,QC
24,29:17.1,1,2.8,17.78,3.66,3.87,2021-09-06,1
285,52:26.4,5,2.42,19.2,1.63,3.07,2021-09-06,1
523,13:22.4,8,5.27,23.99,3.37,3.22,2021-09-06,1
525,13:32.4,8,4.34,24.48,4.0,1.97,2021-09-06,1
543,15:02.5,8,4.73,24.6,3.97,4.58,2021-09-06,1
600,20:08.6,9,3.11,22.94,4.39,1.58,2021-09-06,1
628,22:50.6,10,4.16,23.55,2.13,4.19,2021-09-06,1
636,23:30.7,10,4.16,23.55,2.13,4.19,2021-09-06,1
669,26:15.8,10,4.16,23.55,2.13,4.19,2021-09-06,1
674,26:40.9,10,4.16,23.55,2.13,4.19,2021-09-06,1
791,37:10.2,12,1.58,24.31,4.23,2.07,2021-09-06,1
847,42:11.8,13,1.57,26.02,2.27,2.04,2021-09-06,1
1045,59:48.3,16,4.49,23.12,4.08,3.6,2021-09-06,1
1075,02:18.5,16,4.26,23.03,3.18,2.48,2021-09-06,1
1179,11:42.2,18,4.38,25.79,3.08,3.73,2021-09-06,1
1206,13:57.3,18,4.38,25.79,3.08,3.73,2021-09-06,1
1226,15:37.4,18,4.38,25.79,3.08,3.73,2021-09-06,1
1231,16:02.4,18,4.38,25.79,3.08,3.73,2021-09-06,1
1281,20:33.0,19,4.91,27.24,3.3,3.78,2021-09-06,1
1388,30:12.5,21,3.18,25.05,3.04,2.04,2021-09-06,1
1410,32:02.6,21,3.87,21.42,4.24,4.65,2021-09-06,1
1442,34:42.8,21,1.58,18.61,2.23,1.96,2021-09-06,1
1517,41:18.3,22,3.17,22.12,3.51,1.15,2021-09-06,1
1592,26:45.6,2,2.92,24.73,2.05,1.25,2021-09-07,0
1597,27:10.7,2,2.65,24.7,2.28,1.74,2021-09-07,0
1614,28:35.7,2,5.15,21.74,3.11,3.62,2021-09-07,0
1633,30:10.8,2,4.39,27.24,3.47,3.54,2021-09-07,0
1708,36:47.7,3,2.08,24.43,2.07,3.28,2021-09-07,1
1757,41:14.2,4,1.83,21.48,2.06,1.97,2021-09-07,1
1800,45:09.9,5,5.33,21.31,3.08,3.15,2021-09-07,1
1844,48:50.1,5,2.65,18.02,3.44,3.1,2021-09-07,1
1845,48:55.1,5,3.81,26.76,1.8,4.48,2021-09-07,1
1911,54:47.4,6,4.6,18.53,3.31,4.5,2021-09-07,1
1936,57:14.8,7,2.81,23.07,1.53,4.21,2021-09-07,1
1950,58:24.8,7,3.98,27.56,4.18,2.22,2021-09-07,1
2016,04:16.4,8,1.87,23.65,2.33,3.01,2021-09-07,1
2019,04:31.4,8,1.87,23.65,2.33,3.01,2021-09-07,1
2025,05:01.5,8,1.87,23.65,2.33,3.01,2021-09-07,1
2056,07:36.6,8,1.87,23.65,2.33,3.01,2021-09-07,1
